open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1569888000000,8285.31,8499,8171,8290,39212.804,1569974399999,327218811.62991,92166,19547.744,163152006.75129,0
1569974400000,8290,8365.92,8149.35,8352.14,30329.179,1570060799999,249785989.08192,71452,13840.600,113978670.61272,0
1570060800000,8353.40,8386,8020,8220.27,33430.230,1570147199999,274334928.39047,82221,15177.823,124513346.44436,0
1570147200000,8219.95,8227.42,7979.95,8130.56,28421.111,1570233599999,230978393.31482,74683,12437.976,101062599.15354,0
1570233600000,8130,8175,8010,8122.14,30262.006,1570319999999,244744089.06028,69791,12199.701,98632706.00080,0
1570320000000,8122.01,8148.43,7760,7852.79,41909.039,1570406399999,333155725.01068,94844,19790.528,157345906.89689,0
1570406400000,7851.01,8330,7764.42,8186.88,62760.299,1570492799999,504822438.82757,115400,30547.437,246020207.22784,0
1570492800000,8188.55,8322.01,8103.88,8167.62,44715.165,1570579199999,366576763.24705,82468,20732.257,169983942.94089,0
1570579200000,8168.33,8700,8113,8559.77,65453.643,1570665599999,549731852.71201,114326,31442.175,264417929.46204,0
1570665600000,8559.77,8640.89,8419.34,8556.02,44285.668,1570751999999,377726959.91583,83861,20092.241,171338103.59999,0
1570752000000,8557,8788,8210,8255.58,69157.964,1570838399999,582172642.93171,116971,32857.382,276631930.43743,0
1570838400000,8255.54,8397.45,8248.34,8300.22,37761.514,1570924799999,314379330.82757,68373,15308.279,127444857.00206,0
1570924800000,8300.31,8456,8137.30,8274.66,43820.913,1571011199999,365285901.78075,80857,19428.260,161922305.96286,0
1571011200000,8274.33,8381.77,8205.02,8346.05,61999.821,1571097599999,514903627.22129,93034,28780.204,239007671.61254,0
1571097600000,8346.31,8408.62,8080,8160.01,86246.749,1571183999999,711597427.68430,97630,42904.665,353848388.65652,0
1571184000000,8160.55,8184,7900.24,7992.21,70434.452,1571270399999,566811841.94844,90317,37094.337,298603912.33104,0
1571270400000,7994.76,8124.63,7930,8069.20,58354.602,1571356799999,468701651.96454,80845,30214.470,242659204.06555,0
1571356800000,8069.41,8117.30,7812,7943.94,75251.352,1571443199999,597673590.50877,102381,38916.486,309267700.81598,0
1571443200000,7945.57,8108.54,7852.12,7947.13,78024.395,1571529599999,620945265.24094,98068,39948.006,317935233.11750,0
1571529600000,7947.78,8300.50,7871.17,8218.23,78663.915,1571615999999,631533255.81236,120205,40050.334,321455250.64889,0
1571616000000,8218.23,8334.57,8150,8201.74,59928.516,1571702399999,492366045.41501,100497,30160.553,247796532.58354,0
1571702400000,8201,8290,8000,8020.89,69506.880,1571788799999,568694788.53218,115709,35709.341,292256359.88044,0
